#OutID       RAout       DECout      mag_out     InID        RAin        DECin       mag_in      r           f(r)        df          f(df)       q(m)        n(m)        LR          Rel         flag        
39           52.963217   -27.847562  0.0000      447914      52.963173   -27.847710  24.6632     0.556       1.885e-01   0.000e+00   1.000e+00   1.701e-01   3.042e-03   1.054e+01   0.975       1           
42           52.966330   -27.890785  0.0000      456540      52.966416   -27.890896  24.9101     0.508       2.949e-01   0.000e+00   1.000e+00   1.658e-01   3.282e-03   1.490e+01   0.982       1           
44           52.967355   -27.804338  0.0000      431164      52.967377   -27.804486  24.0885     0.539       2.215e-01   0.000e+00   1.000e+00   1.745e-01   2.417e-03   1.599e+01   0.984       1           
45           52.967626   -27.696263  0.0000      427922      52.967631   -27.696272  24.0085     0.037       2.730e+00   0.000e+00   1.000e+00   1.744e-01   2.328e-03   2.046e+02   0.999       1           
46           52.967895   -27.915837  0.0000      454702      52.967735   -27.915750  24.3850     0.654       6.715e-02   0.000e+00   1.000e+00   1.733e-01   2.747e-03   4.236e+00   0.941       1           
47           52.967920   -27.797937  0.0000      432398      52.967987   -27.797985  25.4575     0.297       1.286e+00   0.000e+00   1.000e+00   1.521e-01   3.685e-03   5.308e+01   0.995       1           
49           52.968635   -27.838151  0.0000      448695      52.968769   -27.838246  24.9225     0.590       1.340e-01   0.000e+00   1.000e+00   1.655e-01   3.293e-03   6.734e+00   0.962       1           
50           52.968840   -27.778324  0.0000      433862      52.968895   -27.778475  22.5941     0.579       1.500e-01   0.000e+00   1.000e+00   1.453e-01   9.698e-04   2.247e+01   0.988       1           
51           52.972981   -27.811950  0.0000      437850      52.973082   -27.811999  24.0302     0.402       6.786e-01   0.000e+00   1.000e+00   1.745e-01   2.352e-03   5.034e+01   0.995       1           
58           52.977044   -27.851425  0.0000      447605      52.977032   -27.851566  24.4308     0.511       2.860e-01   0.000e+00   1.000e+00   1.729e-01   2.797e-03   1.768e+01   0.985       1           
59           52.977064   -27.761078  0.0000      435392      52.977289   -27.761202  23.1427     0.923       1.687e-03   0.000e+00   1.000e+00   1.624e-01   1.423e-03   1.925e-01   0.420       1           
60           52.978834   -27.735934  0.0000      437558      52.978978   -27.735741  24.8254     0.868       4.019e-03   0.000e+00   1.000e+00   1.674e-01   3.203e-03   2.101e-01   0.441       1           
61           52.979687   -27.841106  0.0000      448371      52.979671   -27.841302  25.2658     0.707       3.613e-02   0.000e+00   1.000e+00   1.574e-01   3.568e-03   1.594e+00   0.857       1           
62           52.980485   -27.776442  0.0000      433995      52.980337   -27.776444  24.3582     0.531       2.385e-01   0.000e+00   1.000e+00   1.735e-01   2.718e-03   1.522e+01   0.983       1           
63           52.980677   -27.913371  0.0000      454894      52.980736   -27.913420  21.7919     0.276       1.424e+00   0.000e+00   1.000e+00   1.128e-01   5.104e-04   3.149e+02   0.999       1           
64           52.981659   -27.845488  0.0000      448113      52.981713   -27.845577  21.5347     0.376       8.123e-01   0.000e+00   1.000e+00   1.018e-01   4.090e-04   2.023e+02   0.999       1           
67           52.982517   -27.822496  0.0000      449856      52.982611   -27.822638  25.3584     0.613       1.059e-01   0.000e+00   1.000e+00   1.549e-01   3.628e-03   4.521e+00   0.944       1           
69           52.984622   -27.783408  0.0000      433558      52.984597   -27.783466  26.1313     0.227       1.765e+00   0.000e+00   1.000e+00   1.294e-01   3.830e-03   5.963e+01   0.996       1           
70           52.984836   -27.858715  0.0000      458935      52.984866   -27.858793  22.1469     0.302       1.251e+00   0.000e+00   1.000e+00   1.278e-01   6.851e-04   2.334e+02   0.999       1           
71           52.984961   -27.735114  0.0000      437608      52.985048   -27.735196  26.2651     0.430       5.551e-01   0.000e+00   1.000e+00   1.244e-01   3.805e-03   1.814e+01   0.986       1           
73           52.987747   -27.852295  0.0000      447499      52.987693   -27.852423  26.7649     0.501       3.129e-01   0.000e+00   1.000e+00   1.048e-01   3.559e-03   9.214e+00   0.972       1           
75           52.989418   -27.714606  0.0000      439394      52.989383   -27.714581  25.5279     0.155       2.241e+00   0.000e+00   1.000e+00   1.499e-01   3.720e-03   9.035e+01   0.997       1           
78           52.991502   -27.792961  0.0000      432728      52.991395   -27.792987  27.7863     0.397       7.021e-01   0.000e+00   1.000e+00   6.458e-02   2.500e-03   1.814e+01   0.986       1           
79           52.992092   -27.809391  0.0000      440271      52.992105   -27.809497  23.3231     0.385       7.617e-01   0.000e+00   1.000e+00   1.665e-01   1.596e-03   7.948e+01   0.997       1           
80           52.992171   -27.749747  0.0000      436368      52.992277   -27.749897  23.3035     0.662       6.134e-02   0.000e+00   1.000e+00   1.661e-01   1.577e-03   6.463e+00   0.960       1           
81           52.992819   -27.844873  0.0000      448073      52.992821   -27.845038  25.0399     0.593       1.304e-01   0.000e+00   1.000e+00   1.630e-01   3.395e-03   6.261e+00   0.959       1           
84           52.996132   -27.855942  0.0000      447174      52.996076   -27.856021  28.2506     0.350       9.532e-01   0.000e+00   1.000e+00   4.844e-02   1.931e-03   2.391e+01   0.988       1           
84           52.996132   -27.855942  0.0000      447221      52.996228   -27.855682  26.3941     0.996       5.035e-04   0.000e+00   1.000e+00   1.194e-01   3.765e-03   1.597e-02   0.001       0           
87           52.998172   -27.838793  0.0000      448555      52.998076   -27.838939  23.7859     0.630       8.842e-02   0.000e+00   1.000e+00   1.733e-01   2.081e-03   7.364e+00   0.965       1           
89           53.001562   -27.722141  0.0000      438745      53.001521   -27.722203  22.4152     0.267       1.490e+00   0.000e+00   1.000e+00   1.386e-01   8.469e-04   2.438e+02   0.999       1           
90           53.001597   -27.874545  0.0000      457688      53.001781   -27.874675  23.9430     0.810       9.320e-03   0.000e+00   1.000e+00   1.742e-01   2.254e-03   7.204e-01   0.730       1           
91           53.002212   -27.898058  0.0000      455971      53.002411   -27.898071  25.7760     0.719       3.090e-02   0.000e+00   1.000e+00   1.420e-01   3.808e-03   1.152e+00   0.812       1           
94           53.003407   -27.892895  0.0000      456363      53.003512   -27.892980  25.3906     0.485       3.582e-01   0.000e+00   1.000e+00   1.540e-01   3.647e-03   1.513e+01   0.983       1           
95           53.003652   -27.799025  0.0000      432349      53.003793   -27.799171  22.5730     0.729       2.747e-02   0.000e+00   1.000e+00   1.445e-01   9.547e-04   4.158e+00   0.940       1           
97           53.005355   -27.847292  0.0000      447874      53.005386   -27.847503  25.7214     0.768       1.648e-02   0.000e+00   1.000e+00   1.438e-01   3.794e-03   6.246e-01   0.701       1           
99           53.006036   -27.918602  0.0000      454445      53.005832   -27.918681  26.9593     0.787       1.272e-02   0.000e+00   1.000e+00   9.696e-02   3.404e-03   3.624e-01   0.576       1           
100          53.006054   -27.694009  0.0000      428098      53.006089   -27.694164  25.4074     0.574       1.585e-01   0.000e+00   1.000e+00   1.535e-01   3.657e-03   6.653e+00   0.962       1           
102          53.006636   -27.724186  0.0000      438547      53.006631   -27.724249  23.6815     0.228       1.762e+00   0.000e+00   1.000e+00   1.723e-01   1.967e-03   1.543e+02   0.998       1           
103          53.008595   -27.813585  0.0000      436180      53.008600   -27.813730  26.5346     0.521       2.621e-01   0.000e+00   1.000e+00   1.139e-01   3.702e-03   8.068e+00   0.959       1           
103          53.008595   -27.813585  0.0000      436484      53.008529   -27.813347  28.0871     0.888       2.949e-03   0.000e+00   1.000e+00   5.387e-02   2.129e-03   7.461e-02   0.009       0           
105          53.009612   -27.876040  0.0000      457577      53.009701   -27.876098  24.8840     0.382       7.779e-01   0.000e+00   1.000e+00   1.663e-01   3.258e-03   3.971e+01   0.993       1           
106          53.010255   -27.766731  0.0000      434848      53.010251   -27.766844  25.3288     0.406       6.589e-01   0.000e+00   1.000e+00   1.557e-01   3.610e-03   2.843e+01   0.991       1           
108          53.010661   -27.847763  0.0000      447838      53.010683   -27.847985  26.8028     0.805       1.003e-02   0.000e+00   1.000e+00   1.033e-01   3.531e-03   2.932e-01   0.524       1           
109          53.010680   -27.741577  0.0000      436976      53.010658   -27.741722  28.1447     0.527       2.490e-01   0.000e+00   1.000e+00   5.193e-02   2.059e-03   6.279e+00   0.959       1           
110          53.011337   -27.828843  0.0000      449299      53.011337   -27.829047  26.6064     0.735       2.545e-02   0.000e+00   1.000e+00   1.111e-01   3.662e-03   7.721e-01   0.744       1           
113          53.011911   -27.850539  0.0000      447629      53.011900   -27.850604  26.5267     0.237       1.698e+00   0.000e+00   1.000e+00   1.143e-01   3.706e-03   5.236e+01   0.995       1           
114          53.012737   -27.747237  0.0000      436520      53.012694   -27.747316  26.6679     0.323       1.117e+00   0.000e+00   1.000e+00   1.087e-01   3.625e-03   3.349e+01   0.992       1           
115          53.013263   -27.762220  0.0000      435282      53.013202   -27.762046  22.9825     0.664       6.018e-02   0.000e+00   1.000e+00   1.580e-01   1.279e-03   7.434e+00   0.965       1           
117          53.014389   -27.862856  0.0000      458585      53.014508   -27.863069  20.3916     0.879       3.357e-03   0.000e+00   1.000e+00   5.807e-02   1.467e-04   1.329e+00   0.833       1           
119          53.015280   -27.767692  0.0000      434815      53.015265   -27.767751  22.6047     0.218       1.826e+00   0.000e+00   1.000e+00   1.457e-01   9.775e-04   2.721e+02   0.999       1           
120          53.016146   -27.891343  0.0000      456474      53.016182   -27.891492  27.5614     0.552       1.959e-01   0.000e+00   1.000e+00   7.306e-02   2.771e-03   5.165e+00   0.951       1           
121          53.016551   -27.744855  0.0000      436709      53.016643   -27.744928  27.9090     0.423       5.845e-01   0.000e+00   1.000e+00   6.011e-02   2.349e-03   1.496e+01   0.983       1           
122          53.016806   -27.623866  0.0000      409181      53.016933   -27.623818  22.2430     0.489       3.454e-01   0.000e+00   1.000e+00   1.318e-01   7.400e-04   6.150e+01   0.996       1           
123          53.016917   -27.719084  0.0000      439011      53.016814   -27.719070  22.8954     0.376       8.101e-01   0.000e+00   1.000e+00   1.554e-01   1.205e-03   1.045e+02   0.997       1           
129          53.019771   -27.770774  0.0000      434471      53.019946   -27.770781  24.2502     0.630       8.825e-02   0.000e+00   1.000e+00   1.741e-01   2.598e-03   5.915e+00   0.957       1           
130          53.019804   -27.662890  0.0000      430755      53.019862   -27.662706  25.8427     0.693       4.291e-02   0.000e+00   1.000e+00   1.397e-01   3.822e-03   1.569e+00   0.855       1           
131          53.020116   -27.690915  0.0000      428406      53.020203   -27.690940  24.4905     0.325       1.106e+00   0.000e+00   1.000e+00   1.723e-01   2.861e-03   6.661e+01   0.996       1           
132          53.020396   -27.779936  0.0000      433685      53.020620   -27.779978  26.1968     0.822       7.869e-03   0.000e+00   1.000e+00   1.270e-01   3.820e-03   2.615e-01   0.070       0           
132          53.020396   -27.779936  0.0000      433686      53.020215   -27.779913  25.0265     0.655       6.662e-02   0.000e+00   1.000e+00   1.633e-01   3.384e-03   3.215e+00   0.859       1           
133          53.020614   -27.742022  0.0000      436952      53.020617   -27.742224  24.2944     0.726       2.856e-02   0.000e+00   1.000e+00   1.739e-01   2.647e-03   1.876e+00   0.876       1           
134          53.021536   -27.898488  0.0000      455934      53.021525   -27.898608  26.1125     0.433       5.447e-01   0.000e+00   1.000e+00   1.301e-01   3.832e-03   1.849e+01   0.986       1           
135          53.022332   -27.778865  0.0000      433731      53.022349   -27.778995  26.6765     0.471       4.042e-01   0.000e+00   1.000e+00   1.083e-01   3.619e-03   1.210e+01   0.978       1           
136          53.022466   -27.799279  0.0000      432327      53.022331   -27.799140  25.0831     0.699       3.985e-02   0.000e+00   1.000e+00   1.620e-01   3.431e-03   1.882e+00   0.876       1           
137          53.022557   -27.792694  0.0000      432732      53.022344   -27.792860  30.4636     0.972       7.553e-04   0.000e+00   1.000e+00   6.755e-03   2.561e-04   1.992e-02   0.070       1           
138          53.023080   -27.757086  0.0000      435710      53.022881   -27.757083  25.8679     0.715       3.275e-02   0.000e+00   1.000e+00   1.388e-01   3.826e-03   1.188e+00   0.817       1           
139          53.024063   -27.746441  0.0000      436586      53.024076   -27.746443  26.0037     0.047       2.710e+00   0.000e+00   1.000e+00   1.340e-01   3.837e-03   9.467e+01   0.997       1           
141          53.024630   -27.913631  0.0000      454888      53.024625   -27.913833  23.1432     0.726       2.839e-02   0.000e+00   1.000e+00   1.624e-01   1.424e-03   3.239e+00   0.924       1           
142          53.024978   -27.752112  0.0000      436172      53.024968   -27.752112  24.0354     0.035       2.734e+00   0.000e+00   1.000e+00   1.745e-01   2.358e-03   2.023e+02   0.999       1           
145          53.025535   -27.824340  0.0000      449672      53.025527   -27.824427  24.8754     0.314       1.174e+00   0.000e+00   1.000e+00   1.665e-01   3.250e-03   6.015e+01   0.996       1           
146          53.026107   -27.690736  0.0000      428365      53.026083   -27.691004  26.9037     0.967       8.245e-04   0.000e+00   1.000e+00   9.920e-02   3.451e-03   2.370e-02   0.082       1           
147          53.026245   -27.673006  0.0000      429967      53.026230   -27.673122  26.5324     0.423       5.846e-01   0.000e+00   1.000e+00   1.140e-01   3.703e-03   1.800e+01   0.985       1           
148          53.026258   -27.760196  0.0000      435464      53.026164   -27.760267  25.3932     0.424       5.808e-01   0.000e+00   1.000e+00   1.539e-01   3.649e-03   2.450e+01   0.989       1           
149          53.026643   -27.791319  0.0000      432880      53.026857   -27.791380  23.4305     0.801       1.051e-02   0.000e+00   1.000e+00   1.686e-01   1.704e-03   1.040e+00   0.796       1           
150          53.026852   -27.765194  0.0000      434951      53.026748   -27.765294  27.0525     0.519       2.678e-01   0.000e+00   1.000e+00   9.321e-02   3.319e-03   7.519e+00   0.966       1           
151          53.027381   -27.841433  0.0000      448381      53.027543   -27.841342  22.1484     0.668       5.747e-02   0.000e+00   1.000e+00   1.279e-01   6.859e-04   1.071e+01   0.976       1           
152          53.027475   -27.843792  0.0000      448185      53.027421   -27.843983  21.3340     0.716       3.243e-02   0.000e+00   1.000e+00   9.340e-02   3.428e-04   8.836e+00   0.971       1           
154          53.027985   -27.748791  0.0000      436392      53.027978   -27.748737  26.3251     0.195       1.989e+00   0.000e+00   1.000e+00   1.221e-01   3.789e-03   6.411e+01   0.996       1           
155          53.028143   -27.820553  0.0000      450026      53.028221   -27.820619  25.3897     0.366       8.635e-01   0.000e+00   1.000e+00   1.540e-01   3.647e-03   3.647e+01   0.993       1           
156          53.028251   -27.822647  0.0000      450023      53.028280   -27.822743  22.6427     0.361       8.914e-01   0.000e+00   1.000e+00   1.470e-01   1.005e-03   1.304e+02   0.998       1           
159          53.029620   -27.874753  0.0000      457651      53.029627   -27.874880  27.4649     0.458       4.481e-01   0.000e+00   1.000e+00   7.681e-02   2.884e-03   1.193e+01   0.978       1           
160          53.029713   -27.858004  0.0000      458932      53.029593   -27.858063  25.9983     0.480       3.729e-01   0.000e+00   1.000e+00   1.342e-01   3.837e-03   1.305e+01   0.980       1           
162          53.030514   -27.855585  0.0000      447269      53.030575   -27.855729  24.2401     0.564       1.750e-01   0.000e+00   1.000e+00   1.742e-01   2.587e-03   1.178e+01   0.978       1           
163          53.030637   -27.814076  0.0000      436078      53.030786   -27.814176  24.7180     0.646       7.357e-02   0.000e+00   1.000e+00   1.693e-01   3.098e-03   4.020e+00   0.938       1           
164          53.030687   -27.873281  0.0000      457790      53.030592   -27.873467  26.0318     0.752       2.043e-02   0.000e+00   1.000e+00   1.330e-01   3.837e-03   7.083e-01   0.727       1           
165          53.030714   -27.828397  0.0000      449352      53.030654   -27.828367  25.9655     0.244       1.651e+00   0.000e+00   1.000e+00   1.354e-01   3.836e-03   5.827e+01   0.995       1           
166          53.031447   -27.824188  0.0000      449807      53.031648   -27.824156  22.4202     0.733       2.616e-02   0.000e+00   1.000e+00   1.388e-01   8.502e-04   4.271e+00   0.941       1           
167          53.031730   -27.870385  0.0000      457963      53.031729   -27.870488  25.3325     0.372       8.300e-01   0.000e+00   1.000e+00   1.556e-01   3.612e-03   3.577e+01   0.993       1           
168          53.033101   -27.625708  0.0000      550709      53.033161   -27.625618  23.3440     0.390       7.403e-01   0.000e+00   1.000e+00   1.670e-01   1.617e-03   7.646e+01   0.997       1           
169          53.033222   -27.710843  0.0000      939666      53.033287   -27.711036  23.3675     0.734       2.571e-02   0.000e+00   1.000e+00   1.674e-01   1.640e-03   2.625e+00   0.908       1           
170          53.033361   -27.782539  0.0000      933686      53.033380   -27.782640  24.9797     0.371       8.383e-01   0.000e+00   1.000e+00   1.643e-01   3.344e-03   4.120e+01   0.994       1           
