#OutID       RAout       DECout      mag_out     InID        RAin        DECin       mag_in      r           f(r)        df          f(df)       q(m)        n(m)        LR          Rel         flag        
9            52.937251   -27.860624  0.0000      458709      52.937148   -27.860643  0.0102      0.377       8.027e-01   0.000e+00   1.000e+00   3.487e-01   2.427e-03   1.153e+02   1.000       1           
9            52.937251   -27.860624  0.0000      458749      52.936416   -27.860344  1.1594      3.169       3.919e-38   0.000e+00   1.000e+00   3.487e-01   2.427e-03   5.632e-36   0.000       0           
9            52.937251   -27.860624  0.0000      458759      52.938008   -27.859948  0.0220      3.655       1.204e-50   0.000e+00   1.000e+00   3.487e-01   2.427e-03   1.730e-48   0.000       0           
9            52.937251   -27.860624  0.0000      458868      52.936847   -27.859317  0.7523      4.926       9.022e-92   0.000e+00   1.000e+00   3.487e-01   2.427e-03   1.296e-89   0.000       0           
10           52.937355   -27.761025  0.0000      435357      52.938333   -27.760785  0.0305      3.625       8.050e-50   0.000e+00   1.000e+00   3.487e-01   2.427e-03   1.157e-47   0.000       0           
10           52.937355   -27.761025  0.0000      435358      52.937483   -27.761196  0.7320      0.769       1.634e-02   0.000e+00   1.000e+00   3.487e-01   2.427e-03   2.348e+00   0.988       1           
10           52.937355   -27.761025  0.0000      435419      52.936321   -27.760206  0.0381      4.748       2.875e-85   0.000e+00   1.000e+00   3.487e-01   2.427e-03   4.131e-83   0.000       0           
10           52.937355   -27.761025  0.0000      435489      52.937523   -27.760003  0.7068      3.727       1.154e-52   0.000e+00   1.000e+00   3.487e-01   2.427e-03   1.658e-50   0.000       0           
11           52.938022   -27.830329  0.0000      449065      52.937975   -27.831640  0.0764      4.722       2.417e-84   0.000e+00   1.000e+00   3.487e-01   2.427e-03   3.473e-82   0.000       0           
11           52.938022   -27.830329  0.0000      449186      52.938188   -27.830539  0.1147      0.966       8.429e-04   0.000e+00   1.000e+00   3.487e-01   2.427e-03   1.211e-01   0.810       1           
11           52.938022   -27.830329  0.0000      449287      52.937467   -27.829858  0.0455      2.619       3.807e-26   0.000e+00   1.000e+00   3.487e-01   2.427e-03   5.470e-24   0.000       0           
11           52.938022   -27.830329  0.0000      449288      52.937610   -27.829331  0.2313      3.885       3.409e-57   0.000e+00   1.000e+00   3.487e-01   2.427e-03   4.899e-55   0.000       0           
12           52.938318   -27.909828  0.0000      455049      52.937497   -27.910692  0.4307      4.291       1.057e-69   0.000e+00   1.000e+00   3.487e-01   2.427e-03   1.519e-67   0.000       0           
12           52.938318   -27.909828  0.0000      455153      52.937565   -27.909488  0.0604      2.974       1.264e-33   0.000e+00   1.000e+00   3.487e-01   2.427e-03   1.817e-31   0.000       0           
