#OutID       RAout       DECout      mag_out     InID        RAin        DECin       mag_in      r           f(r)        df          f(df)       q(m)        n(m)        LR          Rel         flag        
62           52.598027   -28.425021  0.0000      820989      52.598299   -28.425277  19.1178     1.345       3.806e-02   0.000e+00   1.000e+00   1.290e-01   1.403e-04   3.498e+01   0.985       1           
62           52.598027   -28.425021  0.0000      821315      52.596230   -28.424623  23.7974     6.627       4.587e-05   0.000e+00   1.000e+00   4.054e-04   4.041e-03   4.602e-06   0.000       0           
62           52.598027   -28.425021  0.0000      821316      52.596181   -28.423794  26.2245     7.979       1.962e-06   0.000e+00   1.000e+00   7.985e-07   6.655e-03   2.355e-10   0.000       0           
62           52.598027   -28.425021  0.0000      821393      52.598442   -28.423490  25.5427     5.710       2.791e-04   0.000e+00   1.000e+00   5.863e-06   6.707e-03   2.439e-07   0.000       0           
70           52.438212   -28.203696  0.0000      310829      52.438374   -28.205077  27.3310     5.005       9.327e-04   0.000e+00   1.000e+00   2.077e-08   5.046e-03   3.839e-09   0.000       0           
70           52.438212   -28.203696  0.0000      310980      52.440146   -28.203005  27.3686     7.394       8.241e-06   0.000e+00   1.000e+00   1.820e-08   4.970e-03   3.017e-11   0.000       0           
70           52.438212   -28.203696  0.0000      311115      52.437710   -28.203140  20.1724     2.697       1.591e-02   0.000e+00   1.000e+00   6.683e-02   2.960e-04   3.593e+00   0.873       1           
70           52.438212   -28.203696  0.0000      311117      52.437076   -28.204679  25.9889     5.409       4.764e-04   0.000e+00   1.000e+00   1.626e-06   6.765e-03   1.145e-07   0.000       0           
72           53.108600   -27.675897  0.0000      929721      53.108735   -27.677921  25.6316     7.303       1.021e-05   0.000e+00   1.000e+00   4.571e-06   6.746e-03   6.921e-09   0.000       0           
72           53.108600   -27.675897  0.0000      929796      53.107296   -27.677090  27.5122     6.360       7.977e-05   0.000e+00   1.000e+00   1.088e-08   4.672e-03   1.857e-10   0.000       0           
72           53.108600   -27.675897  0.0000      929994      53.107502   -27.674939  27.5548     5.246       6.288e-04   0.000e+00   1.000e+00   9.335e-09   4.582e-03   1.281e-09   0.000       0           
72           53.108600   -27.675897  0.0000      930012      53.108756   -27.674754  26.7050     4.152       3.245e-03   0.000e+00   1.000e+00   1.743e-07   6.147e-03   9.202e-08   0.000       0           
72           53.108600   -27.675897  0.0000      930067      53.108076   -27.673833  27.7801     7.666       4.288e-06   0.000e+00   1.000e+00   4.079e-09   4.100e-03   4.266e-12   0.000       0           
72           53.108600   -27.675897  0.0000      930177      53.110411   -27.676630  19.9582     7.035       1.886e-05   0.000e+00   1.000e+00   7.860e-02   2.530e-04   5.860e-03   0.011       1           
72           53.108600   -27.675897  0.0000      930178      53.109838   -27.675828  23.5403     4.464       2.112e-03   0.000e+00   1.000e+00   6.822e-04   3.537e-03   4.074e-04   0.001       0           
72           53.108600   -27.675897  0.0000      930182      53.110635   -27.675557  25.3933     7.429       7.599e-06   0.000e+00   1.000e+00   8.847e-06   6.612e-03   1.017e-08   0.000       0           
72           53.108600   -27.675897  0.0000      930183      53.109602   -27.674282  22.5325     6.843       2.885e-05   0.000e+00   1.000e+00   4.111e-03   1.859e-03   6.380e-05   0.000       0           
72           53.108600   -27.675897  0.0000      930184      53.108379   -27.676864  26.3827     3.572       6.626e-03   0.000e+00   1.000e+00   4.892e-07   6.528e-03   4.966e-07   0.000       0           
72           53.108600   -27.675897  0.0000      930185      53.108248   -27.676329  25.7881     2.004       2.677e-02   0.000e+00   1.000e+00   2.925e-06   6.782e-03   1.154e-05   0.000       0           
73           53.112387   -27.685369  0.0000      928915      53.111692   -27.687474  24.5554     7.981       1.954e-06   0.000e+00   1.000e+00   7.494e-05   5.503e-03   2.661e-08   0.000       0           
73           53.112387   -27.685369  0.0000      928945      53.111117   -27.686792  25.7328     6.866       2.742e-05   0.000e+00   1.000e+00   3.430e-06   6.774e-03   1.388e-08   0.000       0           
73           53.112387   -27.685369  0.0000      929201      53.110715   -27.684336  24.6193     7.075       1.725e-05   0.000e+00   1.000e+00   6.431e-05   5.614e-03   1.975e-07   0.000       0           
