ID,RA,DEC,RA_err,Dec_err
814,53.185203,-27.827824,0.14,0.14
815,53.185211,-27.717372,0.5,0.5
816,53.185633,-27.664048,0.52,0.52
817,53.185725,-27.720184,0.51,0.51
818,53.185805,-27.809946,0.17,0.17
819,53.186274,-27.700628,0.64,0.64
820,53.186435,-27.825163,0.44,0.44
821,53.186952,-27.790982,0.42,0.42
822,53.187053,-27.841143,0.6,0.6
823,53.187535,-27.910901,0.56,0.56
824,53.187715,-27.793867,0.54,0.54
825,53.187971,-27.790064,0.39,0.39
826,53.188615,-27.904132,0.45,0.45
827,53.188651,-27.662244,0.6,0.6
828,53.188878,-27.832303,0.57,0.57
829,53.189658,-27.681448,0.54,0.54
830,53.189902,-27.859287,0.57,0.57
831,53.190101,-27.765155,0.56,0.56
832,53.190171,-27.926225,0.5,0.5
833,53.190231,-27.734973,0.54,0.54
834,53.190439,-27.703645,0.29,0.29
835,53.190682,-27.803597,0.48,0.48
836,53.190886,-27.87301,0.7,0.7
837,53.191385,-27.962919,0.75,0.75
838,53.192155,-27.953164,0.85,0.85
839,53.192766,-27.890854,0.5,0.5
840,53.193049,-27.775558,0.16,0.16
841,53.19311,-27.714208,0.56,0.56
842,53.193312,-27.903932,0.36,0.36
843,53.194862,-27.703354,0.26,0.26
844,53.19512,-27.855704,0.43,0.43
845,53.195858,-27.729568,0.29,0.29
846,53.196039,-27.892591,0.24,0.24
847,53.196293,-27.88534,0.44,0.44
848,53.196506,-27.863225,0.32,0.32
849,53.196642,-27.851664,0.58,0.58
850,53.196953,-27.713489,0.43,0.43
851,53.198125,-27.832141,0.38,0.38
852,53.198389,-27.747844,0.58,0.58
853,53.19859,-27.927609,0.61,0.61
854,53.198811,-27.843903,0.27,0.27
855,53.199525,-27.709118,0.21,0.21
856,53.199622,-27.696663,0.23,0.23
857,53.199712,-27.815591,0.58,0.58
858,53.200716,-27.882431,0.23,0.23
859,53.201699,-27.844257,0.69,0.69
860,53.201952,-27.764062,0.66,0.66
861,53.202383,-27.826237,0.42,0.42
862,53.203167,-27.758782,0.53,0.53
863,53.204226,-27.936151,0.74,0.74
864,53.20484,-27.917988,0.31,0.31
865,53.204965,-27.743336,0.51,0.51
866,53.204989,-27.740564,0.59,0.59
867,53.205002,-27.680657,0.41,0.41
868,53.20515,-27.893656,0.44,0.44
869,53.205315,-27.717479,0.51,0.51
870,53.205783,-27.970338,0.81,0.81
871,53.205804,-27.807799,0.39,0.39
