ID,RA,DEC,RA_err,Dec_err
255,53.059035,-27.776208,0.43,0.43
256,53.059407,-27.788957,0.53,0.53
257,53.059721,-27.822472,0.53,0.53
258,53.060113,-27.852965,0.31,0.31
259,53.060236,-27.749049,0.33,0.33
260,53.060687,-27.906056,0.24,0.24
261,53.060751,-27.882355,0.46,0.46
262,53.061306,-27.985625,0.91,0.91
263,53.061519,-27.772615,0.55,0.55
264,53.061609,-27.734077,0.32,0.32
265,53.061679,-27.944484,0.69,0.69
266,53.061804,-27.793985,0.36,0.36
267,53.061907,-27.850979,0.19,0.19
268,53.061945,-27.706452,0.49,0.49
269,53.062213,-27.764812,0.55,0.55
270,53.062214,-27.645425,0.61,0.61
271,53.062412,-27.706914,0.29,0.29
272,53.062429,-27.857476,0.14,0.14
273,53.062796,-27.726398,0.45,0.45
274,53.063198,-27.699686,0.38,0.38
275,53.063449,-27.791376,0.54,0.54
276,53.063839,-27.843662,0.25,0.25
277,53.063901,-27.824432,0.51,0.51
278,53.064103,-27.845743,0.46,0.46
279,53.064344,-27.7754,0.41,0.41
280,53.065654,-27.878854,0.4,0.4
281,53.065671,-27.664986,0.4,0.4
282,53.065728,-27.890321,0.57,0.57
283,53.065799,-27.774924,0.36,0.36
284,53.06594,-27.701854,0.44,0.44
285,53.066227,-27.800537,0.6,0.6
286,53.066409,-27.720515,0.53,0.53
287,53.066704,-27.816555,0.42,0.42
288,53.066736,-27.782239,0.55,0.55
289,53.067243,-27.945536,0.43,0.43
290,53.067365,-27.828226,0.28,0.28
291,53.067541,-27.658349,0.28,0.28
292,53.06776,-27.923348,0.39,0.39
293,53.06841,-27.866429,0.27,0.27
294,53.068558,-27.746895,0.64,0.64
295,53.068889,-27.790867,0.39,0.39
296,53.069553,-27.801635,0.52,0.52
297,53.069719,-27.777204,0.42,0.42
298,53.069729,-27.724316,0.41,0.41
299,53.070247,-27.845542,0.41,0.41
300,53.070309,-27.83569,0.26,0.26
301,53.070571,-27.834359,0.54,0.54
302,53.070663,-27.85066,0.62,0.62
303,53.070767,-27.900328,0.48,0.48
304,53.071076,-27.822679,0.29,0.29
305,53.071229,-27.69356,0.3,0.3
306,53.071454,-27.717589,0.17,0.17
307,53.071511,-27.769766,0.33,0.33
308,53.071521,-27.872429,0.15,0.15
309,53.071699,-27.814885,0.44,0.44
310,53.072003,-27.81893,0.42,0.42
311,53.072011,-27.86934,0.51,0.51
312,53.072572,-27.822472,0.44,0.44
313,53.072704,-27.834134,0.47,0.47
314,53.072818,-27.75795,0.52,0.52
315,53.07307,-27.770467,0.49,0.49
316,53.073191,-27.828203,0.47,0.47
317,53.073475,-27.803286,0.37,0.37
318,53.074273,-27.777877,0.54,0.54
319,53.074347,-27.835246,0.26,0.26
320,53.074729,-27.849895,0.41,0.41
321,53.074827,-27.789343,0.44,0.44
322,53.075062,-27.831354,0.33,0.33
323,53.075126,-27.788478,0.29,0.29
324,53.075195,-27.742446,0.46,0.46
325,53.075436,-27.616614,0.72,0.72
326,53.075954,-27.878104,0.26,0.26
327,53.075988,-27.78054,0.54,0.54
328,53.076418,-27.848627,0.13,0.13
329,53.076452,-27.864025,0.47,0.47
330,53.076485,-27.873395,0.31,0.31
331,53.076805,-27.817555,0.61,0.61
332,53.076835,-27.765534,0.34,0.34
333,53.076843,-27.799144,0.48,0.48
334,53.076864,-27.760073,0.56,0.56
335,53.077929,-27.822207,0.44,0.44
336,53.077939,-27.736832,0.37,0.37
337,53.078476,-27.859804,0.23,0.23
338,53.078542,-27.758038,0.46,0.46
339,53.078887,-27.824689,0.44,0.44
340,53.079152,-27.79872,0.12,0.12
341,53.079438,-27.741622,0.47,0.47
342,53.079505,-27.870571,0.56,0.56
343,53.079563,-27.948679,0.54,0.54
344,53.079736,-27.80891,0.46,0.46
345,53.079927,-27.746067,0.42,0.42
346,53.080258,-27.775635,0.55,0.55
347,53.080305,-27.81555,0.47,0.47
348,53.080495,-27.753863,0.61,0.61
349,53.080567,-27.901741,0.35,0.35
350,53.080793,-27.681038,0.41,0.41
351,53.081062,-27.70127,0.44,0.44
352,53.081734,-27.808615,0.55,0.55
353,53.082025,-27.767184,0.43,0.43
354,53.082561,-27.755268,0.19,0.19
355,53.082573,-27.689614,0.37,0.37
356,53.082648,-27.86651,0.39,0.39
357,53.083163,-27.712013,0.29,0.29
358,53.083579,-27.74644,0.2,0.2
359,53.083875,-27.73948,0.5,0.5
360,53.083929,-27.654986,0.71,0.71
361,53.084246,-27.813981,0.54,0.54
362,53.08427,-27.804978,0.46,0.46
363,53.084361,-27.822186,0.58,0.58
364,53.08441,-27.872645,0.45,0.45
365,53.084765,-27.765127,0.47,0.47
366,53.08482,-27.708061,0.36,0.36
367,53.08534,-27.792292,0.13,0.13
368,53.08549,-27.858148,0.55,0.55
369,53.085733,-27.752496,0.64,0.64
370,53.086035,-27.716188,0.53,0.53
371,53.086244,-27.861732,0.47,0.47
372,53.086818,-27.872943,0.21,0.21
373,53.087015,-27.89509,0.5,0.5
374,53.087199,-27.784781,0.44,0.44
375,53.087225,-27.929472,0.34,0.34
376,53.087313,-27.894277,0.5,0.5
377,53.087338,-27.809932,0.47,0.47
378,53.087643,-27.785455,0.5,0.5
379,53.08779,-27.700174,0.57,0.57
380,53.088779,-27.850507,0.39,0.39
381,53.088802,-27.743223,0.41,0.41
382,53.089103,-27.708647,0.39,0.39
383,53.089144,-27.857277,0.55,0.55
384,53.089248,-27.93045,0.34,0.34
385,53.090251,-27.736475,0.49,0.49
386,53.090739,-27.782439,0.27,0.27
387,53.091579,-27.853278,0.27,0.27
388,53.091593,-27.782198,0.31,0.31
389,53.091634,-27.71226,0.54,0.54
390,53.091716,-27.907667,0.46,0.46
391,53.092299,-27.826766,0.34,0.34
392,53.092336,-27.87697,0.46,0.46
393,53.09234,-27.803154,0.17,0.17
394,53.09352,-27.762195,0.26,0.26
395,53.093724,-27.826382,0.4,0.4
396,53.093772,-27.801291,0.22,0.22
397,53.093887,-27.825726,0.31,0.31
398,53.093895,-27.968066,0.68,0.68
399,53.093942,-27.767736,0.13,0.13
400,53.09395,-27.83048,0.25,0.25
401,53.093997,-27.804112,0.22,0.22
402,53.094093,-27.74052,0.32,0.32
403,53.094719,-27.694609,0.38,0.38
404,53.094841,-27.873318,0.31,0.31
405,53.094921,-27.757726,0.43,0.43
406,53.095112,-27.924964,0.48,0.48
407,53.095153,-27.826309,0.47,0.47
408,53.095326,-27.816076,0.56,0.56
409,53.095335,-27.660058,0.41,0.41
410,53.095832,-27.914499,0.6,0.6
411,53.096382,-27.744671,0.65,0.65
412,53.096448,-27.851817,0.54,0.54
413,53.096464,-27.765173,0.25,0.25
414,53.096564,-27.841564,0.55,0.55
415,53.096888,-27.679284,0.61,0.61
416,53.097179,-27.865787,0.56,0.56
417,53.097374,-27.814436,0.3,0.3
418,53.097593,-27.84789,0.6,0.6
419,53.097664,-27.71521,0.41,0.41
420,53.098282,-27.727341,0.55,0.55
421,53.098376,-27.766976,0.34,0.34
422,53.098601,-27.890096,0.44,0.44
423,53.098618,-27.827203,0.45,0.45
424,53.098885,-27.979305,0.68,0.68
425,53.099343,-27.777706,0.49,0.49
426,53.099873,-27.808466,0.35,0.35
427,53.100785,-27.716002,0.28,0.28
428,53.101059,-27.690714,0.2,0.2
429,53.101474,-27.821601,0.42,0.42
430,53.102286,-27.669597,0.46,0.46
431,53.102472,-27.814648,0.35,0.35
432,53.102509,-27.814078,0.4,0.4
433,53.102598,-27.860506,0.6,0.6
434,53.102714,-27.911916,0.43,0.43
435,53.102722,-27.903242,0.39,0.39
436,53.103058,-27.82542,0.49,0.49
437,53.103234,-27.735584,0.68,0.68
438,53.103366,-27.646432,0.63,0.63
439,53.103463,-27.933335,0.23,0.23
440,53.103487,-27.785117,0.29,0.29
441,53.103563,-27.847263,0.54,0.54
442,53.103902,-27.803972,0.43,0.43
443,53.104007,-27.835535,0.2,0.2
444,53.104124,-27.683727,0.27,0.27
445,53.104283,-27.702639,0.44,0.44
446,53.104547,-27.734238,0.45,0.45
447,53.104591,-27.845318,0.25,0.25
448,53.104826,-27.913804,0.33,0.33
449,53.1049,-27.705246,0.18,0.18
450,53.104956,-27.85003,0.47,0.47
451,53.10497,-27.892777,0.51,0.51
452,53.105245,-27.756725,0.41,0.41
453,53.105304,-27.875214,0.52,0.52
454,53.105992,-27.865164,0.48,0.48
455,53.106153,-27.771429,0.44,0.44
456,53.106763,-27.765393,0.6,0.6
457,53.10687,-27.661647,0.66,0.66
458,53.10704,-27.718233,0.16,0.16
459,53.107112,-27.732122,0.55,0.55
460,53.107228,-27.826801,0.24,0.24
461,53.107261,-27.729697,0.48,0.48
462,53.107444,-27.653478,0.69,0.69
463,53.107499,-27.749734,0.43,0.43
464,53.107532,-27.918804,0.36,0.36
465,53.107543,-27.855644,0.26,0.26
466,53.107764,-27.838759,0.44,0.44
467,53.107899,-27.726371,0.56,0.56
468,53.10791,-27.657522,0.48,0.48
469,53.108124,-27.753992,0.18,0.18
470,53.108364,-27.797645,0.36,0.36
471,53.108391,-27.757316,0.49,0.49
472,53.108645,-27.868781,0.49,0.49
473,53.108897,-27.620433,0.91,0.91
474,53.108951,-27.980431,0.75,0.75
475,53.109217,-27.852987,0.5,0.5
476,53.109562,-27.760086,0.28,0.28
477,53.109584,-27.82075,0.3,0.3
478,53.110078,-27.791752,0.42,0.42
479,53.110406,-27.676587,0.22,0.22
480,53.110551,-27.888267,0.61,0.61
481,53.110589,-27.823599,0.37,0.37
482,53.110601,-27.800793,0.4,0.4
483,53.110726,-27.780214,0.44,0.44
484,53.110834,-27.883818,0.52,0.52
485,53.111092,-27.670422,0.24,0.24
486,53.111301,-27.728011,0.56,0.56
487,53.111512,-27.802986,0.41,0.41
488,53.111539,-27.695956,0.23,0.23
489,53.11155,-27.909198,0.68,0.68
490,53.111559,-27.767777,0.21,0.21
491,53.111988,-27.814003,0.43,0.43
492,53.111994,-27.711758,0.5,0.5
493,53.112081,-27.975429,0.77,0.77
494,53.112465,-27.710764,0.54,0.54
495,53.112525,-27.684756,0.21,0.21
496,53.112705,-27.888419,0.47,0.47
497,53.112813,-27.734712,0.61,0.61
498,53.113292,-27.73784,0.48,0.48
499,53.113323,-27.93323,0.76,0.76
500,53.113835,-27.725605,0.56,0.56
501,53.114034,-27.701207,0.48,0.48
502,53.114042,-27.837769,0.43,0.43
503,53.1141,-27.854363,0.53,0.53
504,53.114791,-27.742037,0.67,0.67
505,53.114957,-27.765551,0.46,0.46
506,53.114981,-27.767616,0.47,0.47
507,53.115101,-27.695854,0.19,0.19
508,53.115512,-27.827055,0.47,0.47
509,53.115528,-27.844656,0.31,0.31
510,53.116194,-27.780235,0.44,0.44
511,53.11626,-27.87651,0.51,0.51
512,53.116606,-27.842697,0.48,0.48
513,53.116653,-27.777586,0.32,0.32
514,53.116995,-27.867225,0.56,0.56
515,53.117143,-27.876317,0.52,0.52
516,53.117307,-27.780128,0.46,0.46
517,53.117778,-27.734267,0.39,0.39
518,53.118007,-27.802006,0.39,0.39
519,53.118434,-27.96928,0.66,0.66
520,53.118597,-27.644873,0.84,0.84
521,53.118614,-27.884805,0.49,0.49
522,53.118779,-27.782784,0.37,0.37
523,53.118973,-27.842642,0.51,0.51
524,53.119211,-27.765784,0.36,0.36
525,53.119255,-27.873677,0.44,0.44
526,53.11972,-27.7723,0.16,0.16
527,53.119787,-27.743134,0.56,0.56
528,53.119847,-27.604296,1.12,1.12
529,53.120064,-27.732135,0.19,0.19
530,53.120162,-27.798821,0.39,0.39
531,53.120717,-27.818893,0.38,0.38
532,53.120768,-27.958422,0.28,0.28
533,53.120817,-27.823065,0.33,0.33
534,53.120916,-27.773192,0.39,0.39
535,53.121223,-27.774707,0.42,0.42
536,53.121327,-27.693218,0.52,0.52
537,53.121707,-27.785503,0.38,0.38
538,53.121888,-27.752867,0.49,0.49
539,53.122139,-27.938728,0.6,0.6
540,53.122229,-27.865465,0.48,0.48
541,53.122333,-27.734364,0.52,0.52
542,53.122724,-27.722852,0.43,0.43
543,53.122752,-27.829794,0.54,0.54
544,53.123495,-27.901206,0.61,0.61
545,53.123567,-27.711805,0.35,0.35
546,53.123843,-27.862651,0.21,0.21
547,53.123992,-27.887649,0.54,0.54
548,53.12407,-27.881374,0.43,0.43
549,53.124083,-27.891171,0.33,0.33
550,53.124173,-27.739634,0.29,0.29
551,53.124357,-27.851585,0.15,0.15
552,53.124377,-27.755714,0.32,0.32
553,53.124407,-27.740309,0.23,0.23
554,53.124646,-27.717111,0.48,0.48
555,53.12471,-27.881135,0.47,0.47
556,53.124913,-27.735097,0.32,0.32
557,53.124917,-27.758309,0.11,0.11
558,53.124926,-27.734602,0.28,0.28
559,53.125258,-27.840716,0.38,0.38
560,53.125271,-27.756561,0.13,0.13
561,53.125289,-27.861208,0.45,0.45
562,53.125419,-27.850049,0.51,0.51
563,53.12552,-27.729754,0.56,0.56
564,53.12562,-27.886493,0.46,0.46
565,53.125732,-27.884969,0.43,0.43
566,53.125808,-28.005221,0.99,0.99
567,53.125902,-27.751285,0.12,0.12
568,53.126242,-27.877122,0.65,0.65
569,53.12643,-27.756521,0.43,0.43
570,53.126987,-27.899188,0.52,0.52
571,53.127036,-27.98604,0.83,0.83
572,53.127826,-27.771381,0.46,0.46
573,53.12798,-27.895815,0.7,0.7
574,53.128554,-27.772709,0.41,0.41
575,53.128839,-27.81375,0.43,0.43
576,53.128893,-27.780394,0.51,0.51
577,53.129591,-27.827707,0.43,0.43
578,53.129822,-27.799056,0.44,0.44
579,53.129967,-27.654949,0.46,0.46
580,53.130445,-27.79112,0.21,0.21
581,53.130449,-27.888709,0.61,0.61
582,53.130631,-27.738548,0.41,0.41
583,53.130646,-27.790217,0.35,0.35
584,53.130936,-27.957335,0.41,0.41
585,53.130956,-27.828648,0.44,0.44
586,53.131031,-27.823935,0.56,0.56
587,53.13113,-27.773118,0.26,0.26
588,53.131338,-27.841321,0.34,0.34
589,53.131385,-27.814923,0.2,0.2
590,53.131813,-27.910025,0.69,0.69
591,53.131869,-27.839081,0.47,0.47
592,53.132465,-27.832841,0.37,0.37
593,53.132583,-27.95358,0.45,0.45
594,53.132633,-27.724806,0.41,0.41
595,53.133453,-27.747696,0.4,0.4
596,53.133643,-27.698639,0.24,0.24
597,53.134001,-27.780956,0.17,0.17
598,53.134143,-27.812479,0.4,0.4
599,53.134512,-27.770903,0.42,0.42
600,53.135233,-27.781615,0.5,0.5
601,53.135604,-27.682925,0.64,0.64
602,53.136163,-27.828928,0.4,0.4
603,53.136319,-27.763203,0.36,0.36
604,53.13632,-27.816591,0.51,0.51
605,53.136367,-27.906406,0.55,0.55
606,53.136377,-27.850662,0.56,0.56
607,53.136381,-27.864161,0.14,0.14
608,53.136656,-27.768988,0.48,0.48
609,53.137073,-27.815856,0.56,0.56
610,53.137184,-27.844686,0.4,0.4
611,53.137393,-27.841621,0.35,0.35
612,53.137499,-27.687971,0.42,0.42
613,53.137575,-27.763181,0.13,0.13
614,53.137575,-27.700051,0.42,0.42
615,53.13766,-27.791918,0.4,0.4
616,53.137679,-27.802098,0.3,0.3
617,53.137971,-27.868187,0.26,0.26
618,53.138342,-27.822451,0.37,0.37
619,53.138473,-27.821144,0.32,0.32
620,53.138477,-27.694897,0.69,0.69
621,53.138684,-27.71006,0.23,0.23
622,53.139141,-27.890442,0.63,0.63
623,53.139317,-27.87441,0.38,0.38
624,53.139372,-27.720167,0.31,0.31
625,53.139931,-27.826424,0.5,0.5
626,53.14026,-27.72759,0.55,0.55
627,53.140267,-27.797507,0.25,0.25
628,53.140977,-27.755714,0.22,0.22
629,53.141031,-27.766747,0.42,0.42
630,53.141142,-27.701141,0.44,0.44
631,53.141402,-27.771411,0.45,0.45
632,53.141634,-27.841332,0.46,0.46
633,53.14165,-27.816549,0.2,0.2
634,53.14174,-27.845285,0.49,0.49
635,53.141752,-27.804154,0.42,0.42
636,53.141859,-27.827119,0.27,0.27
637,53.142037,-27.7111,0.64,0.64
638,53.142203,-27.944521,0.42,0.42
639,53.142303,-27.765009,0.43,0.43
640,53.142749,-27.827834,0.39,0.39
641,53.142788,-27.741322,0.56,0.56
642,53.143103,-27.730604,0.28,0.28
643,53.143474,-27.653576,0.28,0.28
644,53.143622,-27.834662,0.39,0.39
645,53.1439,-27.813843,0.4,0.4
646,53.143944,-27.677638,0.56,0.56
647,53.144278,-27.890219,0.5,0.5
648,53.144678,-27.785457,0.45,0.45
649,53.144695,-27.925948,0.43,0.43
650,53.145005,-27.840217,0.46,0.46
651,53.145582,-27.90363,0.5,0.5
652,53.145607,-27.919722,0.2,0.2
653,53.145925,-27.925828,0.5,0.5
654,53.145972,-27.825561,0.51,0.51
655,53.146067,-27.779862,0.4,0.4
656,53.146182,-27.736293,0.3,0.3
657,53.146513,-27.870917,0.33,0.33
658,53.146672,-27.888297,0.21,0.21
659,53.147376,-27.753766,0.66,0.66
660,53.147648,-27.667301,0.58,0.58
661,53.147894,-27.774179,0.53,0.53
662,53.147951,-27.861886,0.62,0.62
